word,meaning,unit,pdf_page,column,extended,status
giraffe,长颈鹿,Unit 6,75,1,True,needs_review
fast,快的；快速地,Unit 6,75,1,False,needs_review
maybe,也许；可能；大概,Unit 6,75,1,False,needs_review
lion,狮子,Unit 6,75,1,False,needs_review
pet,宠物,Unit 6,75,1,False,needs_review
love,喜欢；喜爱,Unit 6,75,1,False,needs_review
very,非常,Unit 6,75,1,False,needs_review
much,很多,Unit 6,75,1,False,needs_review
hot,热的,Unit 7,75,2,False,needs_review
cold,冷的,Unit 7,75,2,False,needs_review
ill,生病的,Unit 7,75,2,False,needs_review
drink,喝,Unit 7,75,2,False,needs_review
fine,健康的,Unit 7,75,2,False,needs_review
wrong,有问题的；不正常的,Unit 7,75,2,False,needs_review
pain,疼痛,Unit 7,75,2,True,needs_review
help,帮助,Unit 7,75,2,False,needs_review
neck,脖子,Unit 7,75,2,True,needs_review
back,背部,Unit 7,75,2,False,needs_review
today,今天,Unit 8,75,2,False,needs_review
Thursday,星期四,Unit 8,75,2,False,needs_review
class,课程；班级,Unit 8,75,2,False,needs_review
Monday,星期一,Unit 8,75,2,False,needs_review
Tuesday,星期二,Unit 8,75,2,False,needs_review
Wednesday,星期三,Unit 8,75,2,False,needs_review
Friday,星期五,Unit 8,75,2,False,needs_review
Chinese,中文；汉语,Unit 8,75,2,False,needs_review
art,美术，艺术,Unit 8,76,1,False,needs_review
P.E.,体育,Unit 8,76,1,False,needs_review
we,我们,Unit 8,76,1,False,needs_review
music,音乐,Unit 8,76,1,False,needs_review
math,数学,Unit 8,76,1,False,needs_review
tomorrow,明天,Unit 8,76,1,False,needs_review
Saturday,星期六,Unit 8,76,1,False,needs_review
light,灯,Unit 8,76,1,False,needs_review
week,周，星期,Unit 8,76,1,False,needs_review
Sunday,星期天,Unit 8,76,1,False,needs_review
China,中国,附录,76,1,False,needs_review
the UK,英国,附录,76,1,False,needs_review
look at,看,附录,76,1,False,needs_review
on the left,在左边,附录,76,1,False,needs_review
let’s = let us,让我们,附录,76,1,False,needs_review
play ping-pong,打乒乓球,附录,76,1,False,needs_review
want to,想要,附录,76,1,False,needs_review
